Introduction	序章
Perhaps you can do that.	也許你可以試試。
The nest is out of reach, even using your sword.	即使用劍，你也無法夠到巢。
Your dagger misses the nest and falls to the ground; you'll have to keep practicing.	你的匕首沒有擊中巢，掉到了地上；你還得繼續練習。
You don't need to do that now. 	你現在不需要做那個。
There is a plowed field to the west.	西邊有一片犁過的田地。
There is a forest to the east.	東邊有一片森林。
You pick up a shiny gold ring.	你撿起了一枚閃亮的金戒指。
It takes a lot of skill and practice to climb this tree.	爬這棵樹需要很多技能和練習。
You carefully bend down and reach into the nest.	你小心地彎下身子，伸手進入巢裡。
In the nest, you find a gold ring.	在巢裡，你找到了一枚金戒指。
You take the ring and move carefully back along the limb.	你拿起戒指，小心地沿著樹枝往回走。
Made it!  Now back down the tree.	成功了！現在下樹吧。
You place the nest on the ground. It is of no use to you.	你把巢放在地上。它對你沒有用處。
You take a lovely gold ring from the nest.	你從巢裡取出一枚漂亮的金戒指。
You place the ring into your pack and the nest on the ground.	你把戒指放進背包，把巢放在地上。
The bright smell of fresh herbs mingles with the aroma of wood smoke as you come up to a hut by the side of the road.	當你走向路邊的小屋時，新鮮草藥的香味與木煙的氣息混合在一起。
You see a glinting object in the remains of the nest. 	你在巢的殘骸裡看到一個閃閃發光的物體。
That's what happens sometimes when you go out on a limb.	有時候走上樹枝時就會發生這種事。
You see nothing in the nest.	你在巢裡什麼也看不到。
Try, try again, etc... 	再試一次，以此類推…
You can't do that while you're up in the tree!  	你在樹上時不能這樣做！
You pick up a few small rocks. 	你撿起了幾塊小石頭。
As you try to cast a spell from your high perch on the tree, you lose your concentration, and...	當你試著從樹上的高處施法時，你失去了專注力，然後…
That spell is no longer useful here (but you did get some practice).	那個法術在這裡已經沒有用了（但你確實練習了一下）。
The apothecary bottle sign indicates that the occupant of the house is skilled with potions.  	藥瓶的招牌表明這棟房子的主人擅長製作藥水。
You can see nothing in the dark.	你在黑暗中什麼也看不到。
The curtains obscure your vision.  You can only make out a clutter of bottles, jars, and pots on the sill.	窗簾遮住了你的視線。你只能看到窗台上雜亂的瓶子、罐子和壺。
The tree is a large oak.	這是一棵大橡樹。
There is a nest on the limb that stretches toward the hut.  	樹枝上有一個巢，樹枝伸向小屋。
It's a barrel.	這是一個木桶。
It's just a wooden barrel. 	這只是一個木製的木桶。
The healer's bed looks very comfortable. 	治療師的床看起來很舒服。
Since it has been awhile since you took a bath, you decide not to sleep in the healer's bed. 	因為你有一陣子沒洗澡了，你決定不睡在治療師的床上。
It looks like cheesecloth. 	看起來像是起司布。
The fire is very hot. 	火很熱。
    Magic Acorn  	魔力橡果
    Fairy Dust  	妖精粉
    Green Fur  	綠色毛皮
    Flowers from Erana's Peace  	    伊瑞娜的安寧之地的鮮花
Let's see, to make the Dispel Potion I still need: %s %s %s %s %s	讓我想想，要做解除魔法藥水我還需要：%s %s %s %s %s
    Flying Water 	飛水
You see a middle-aged woman with rosy cheeks and smile lines around her eyes.	你看到一位中年婦女，紅潤的雙頰和眼角帶著笑紋。
Magic Acorn	魔力橡果
Troll Beard	巨魔鬍鬚
Cheetaur Claws	獵豹人爪子
Dispel Potion	解除魔法藥水
Dryad	樹精
Fairy Dust	妖精粉
Farmer	農夫
Flasks	藥瓶
Flowers	鮮花
Flying Water	飛水
Fairy Ring	妖精環
Green Fur	綠色毛皮
Healing Potion	治療藥水
Power Potion 	力量藥劑
Mandrake Root	曼德拉根
Mushrooms	蘑菇
Erana's Peace	伊瑞娜的安寧之地
Pet	寵物
Potions	藥水
Pterosaur	翼龍
Reward	獎勵
Ring	戒指
Son	兒子
Spell Components	法術成分
Floating Spirits	漂浮靈魂
Stamina	耐力
Undead Unguent	不死藥膏
Vigor Potion	活力藥水
Zombies	喪屍
She is a rather motherly-looking woman with a look of vagueness that belies her shrewdness.  She wears an apron over her dress and a scarf wrapped around her head. 	她是一位看起來很像母親的女性，眼神飄渺卻掩不住她的敏銳。她穿著圍裙，頭上綁著頭巾。
"My ring is shaped in gold like a braid of the herb Athelas with entwined leaves.  I will give six golds to the person who returns my ring." 	「我的戒指是用黃金打造，造型像是艾瑟拉斯草編織的花辮，葉子交織在一起。我會給找到我戒指的人六枚金幣。」
"I have already given you your reward for the return of my ring." 	「我已經給過你找到我戒指的獎勵了。」
"The only place you can get a magic acorn from is a Dryad's oak tree."	「魔力橡果只能從樹精的橡樹上取得。」
"Poor man, he hasn't been the same since his son and daughter were taken from him."	「可憐的人，自從他的兒子和女兒被帶走後，他就再也不像以前那樣了。」
"The Trolls around here are tough monsters that cannot stand the light of day and so are found only at night or in caves." 	「這一帶的巨魔是很難纏的怪物，無法忍受日光，所以只在夜間或山洞裡出沒。」
"They are very difficult to kill, but I will pay two healing potions for the beard of a troll."	「它們很難殺死，但我願意為巨魔的鬍鬚付出兩瓶治療藥水。」
"Those brutes!  I'm always having to heal someone they've beaten up and robbed.  I hate thieves."	「那些野獸！我總是要治療被它們毆打和搶劫的人。我討厭小偷。」
"You can see Spielburg castle from my yard outside.  The Baron lives there with only his guards for company, so I hear."	「從我外面的院子裡能看到史畢柏格城堡。我聽說男爵住在那裡，只有衛兵陪伴。」
"The Cheetaur looks like a cross between a panther and a man.  It is vicious and tough."	「獵豹人看起來像是黑豹和人類的混合體。它很兇殘且強悍。」
"Unless you are a very tough fighter, you had best try to get away from it. If you do manage to kill it, then I will pay you five silvers for each claw." 	「除非你是很強的戰士，否則最好還是逃跑。如果你真的殺死它，我會為每根爪子付你五枚銀幣。」
"The dear child, I can still picture her with her beautiful blond hair done up in braids.  She was so sweet.  It is hard to believe she is gone."	「親愛的孩子，我還能想像她那美麗的金色頭髮編成花辮。她那麼溫柔。很難相信她已經不在了。」
"If you know the ingredients and then bring them here, I can make you such a potion."	「如果你知道配方的材料並帶來，我可以為你製作這種藥水。」
"I had heard that there was a Dryad in the woods somewhere.  I've never met anyone who actually spoke with her before.  How very interesting."	「我聽說森林裡的某處有樹精。我從未遇過真正和她說過話的人。真有意思。」
"Fairy Dust obviously comes from fairies.  They dance around mushroom rings when it is night.  Fairies are magical beings, so be careful around them."	「妖精粉顯然來自妖精。當夜幕降臨時，她們在蘑菇圈周圍舞蹈。妖精是魔法生物，所以要小心她們。」
"Would you believe the brigands almost killed him a while back?  Fortunately their leader made them bring Heinrich here where I could heal him." 	「你能相信山賊曾幾乎殺死他嗎？幸好他們的首領命令他們把海因里希帶到我這裡，我才能救他。」
"I will pay you one silver for each empty flask you bring me so I can use it for more potions."	「我會為你帶來的每個空藥瓶付一枚銀幣，這樣我就能用它製作更多藥水。」
"I use flowers from Erana's Peace to the north in nearly all my potions. They have some of the magic of the place even when they are dried.  I will pay you five silvers for a flask full of flowers."	「我在幾乎所有藥水中都使用北方伊瑞娜的安寧之地的花朵。即使乾燥後，它們仍保有那個地方的魔力。我會為一瓶滿滿的花朵付你五枚銀幣。」
"I'm not sure what kind of water that is."	「我不確定那是什麼水。」
"A Fairy Ring is a circle of mushrooms.  Fairies dance in them at night, which makes the mushrooms very magical.  Those fairies are cute, but they play rough!"	「妖精環是由蘑菇圍成的圓圈。妖精在夜間在其中舞蹈，使蘑菇充滿魔力。那些妖精很可愛，但她們玩得很粗野！」
"I've never heard of a monster around here with green fur.  Rare things are sometimes by their nature magical."	「我從未聽說過這裡有綠色毛皮的怪物。稀有物品有時生來就具有魔法性質。」
"Well, my name is Amelia Appleberry, but mostly I am just known as the Healer.  I will be happy to sell you some potions.  I live here with my pet, Pterry."	「嗯，我叫阿蜜莉亞·蘋果莓，但大多數人都叫我治療師。我很樂意賣你一些藥水。我和我的寵物派瑞住在這裡。」
"This potion is used to heal damage and keep wounds from getting worse.  It has gotten pretty dangerous around here, and a Healing Potion can be quite useful in a serious situation."	「這種藥水用來治療傷害並防止傷口惡化。這裡變得很危險，治療藥水在危急情況下能派上大用場。」
"I heard the brigand Leader ordering those nasty men to bring poor Heinrich here after they hurt him so.  I gave them all a good scolding, you can imagine." 	「我聽到山賊首領下令那些壞傢伙把可憐的海因里希帶到我這裡，在傷害他之後。你可以想像我狠狠地罵了他們一頓。」
"Power Potions restore the energy needed to cast spells."   	「法力藥水恢復施放法術所需的能量。」
"I have the skill to use my magic to create potions.  I am a bit proud about it; not everyone can do that, you know." 	「我有用魔法創造藥水的技能。我對此有點自豪；不是每個人都能做到的。」
"Mandrake root is used in a variety of spells, mostly for evil purposes. Mandrake must be pulled from a dead man's grave at midnight.  The root is particularly powerful." 	「曼德拉根用於各種法術，大多是邪惡目的。曼德拉根必須在午夜從死人的墳墓拔起。這種根特別強大。」
"I need the mushrooms from a fairy ring to make Power Potions.  I will pay you one gold for some." 	「我需要妖精環的蘑菇來製作法力藥水。我會為你付一枚金幣。」
"Almost due north of here is the meadow called 'Erana's Peace'."	「幾乎正北方是叫做『伊瑞娜的安寧之地』的草地。」
"It is a very magical area and I understand that it is a place of safety.  It is beautiful all year, for the flowers are always in bloom."	「這是個非常具有魔法的地方，我聽說那是個安全的地方。它全年都很美麗，因為花朵總是在盛開。」
"Oh, that's my pet, Pterry, the pterosaur.  He has a girl friend, Pteresa, with a nest in the oak outside my door.  Pterry keeps me company and listens while I chatter as I work."	「哦，那是我的寵物派瑞，一隻翼龍。牠有個女朋友叫派特雷莎，在我門外的橡樹上築巢。派瑞陪伴我，在我工作時聽我嘮叨。」
"I make and sell Healing Potion, Power Potion, Vigor Potion, and Undead Unguent." 	「我製作和販賣治療藥水、法力藥水、活力藥水和不死藥膏。」
"They are a species of flying lizard.  I understand they can grow quite large in the south."	「它們是飛行蜥蜴的一種。我聽說它們在南方能長得相當大。」
"I will give six golds to the person who returns my ring.  It was a gift when I graduated from the College of Healing."	「我會給找到我戒指的人六枚金幣。那是我從治療學院畢業時的禮物。」
"My ring is shaped in gold like a braid of the herb Athelas with entwined leaves.  I don't know how I lost it, I hardly ever take it off." 	「我的戒指是用黃金打造，造型像是艾瑟拉斯草編織的花辮，葉子交織在一起。我不知道怎麼掉的，我幾乎不曾脫下它。」
"He was just a young dashing man when he last rode off; he never returned." 	「他最後一次騎馬離開時還是個年輕英俊的男人；他再也沒有回來。」
"I always need ingredients for making potions.  Right now, I need some of Erana's Flowers, Magic Mushrooms, Troll Beard, and, let me think ... Oh, yes, Cheetaur Claws."	「我總是需要製作藥水的材料。現在我需要一些伊瑞娜的鮮花、魔法蘑菇、巨魔鬍鬚，讓我想想……哦，對，獵豹人爪子。」
"I will be happy to pay you if you bring me some.  I'll also buy back any empty flasks you have so that I can recycle them.  Waste not, want not, after all."	「如果你帶一些來，我很樂意付你錢。我也會回購你的空藥瓶，這樣我就能回收利用。畢竟，浪費不得啊。」
"Floating Spirits are the ghosts which usually hang around graveyards at night.  They are dangerous, so don't go near them unless you use Undead Unguent first."	「漂浮靈魂是通常在夜間在墳墓周圍徘徊的幽靈。它們很危險，所以除非你先使用不死藥膏，否則不要靠近它們。」
"Stamina is a measure of the energy the body uses as you work or play."	「耐力是衡量你工作或玩樂時身體使用的能量。」
"Undead Unguent is used to drive off the minor undead such as zombies or floating spirits.  It doesn't last long, so you should use it near where you are going to encounter such things."  	「不死藥膏用來驅趕小型不死生物，如喪屍或漂浮靈魂。效果不持久，所以你應該在即將遭遇這些東西的地方使用它。」
"Vigor Potion is used to revitalize yourself after vigorous exercise.  It helps to restore stamina."	「活力藥水用來在劇烈運動後恢復活力。它有助於恢復耐力。」
"There are not too many zombies in this land, too damp, I suppose.  There are some floating spirits, I have heard."	「這片土地上沒有太多喪屍，太潮濕了，我想。我聽說有一些漂浮靈魂。」
You find that you have less money than you thought, and can't afford to buy a potion.	你發現你的錢比你想的少，買不起藥水。
You'll have to be more specific.	你得說得更清楚一點。
"I need all my flasks for potions.  You'll have to get one somewhere else."	「我所有的藥瓶都用來做藥水。你得去別的地方拿。」
"I don't have any."	「我沒有。」
"I hope this will help you."	「我希望這對你有幫助。」
"Please, show some respect."	「拜託，請尊重一下。」
"Thank you, I always need flasks."	「謝謝，我總是需要藥瓶。」
"Oh, thank you for finding my ring.  How I've missed this.  Here are six golds and two Healing Potions for your reward!"	「哦，謝謝你找到我的戒指。我多麼想念它。這是六枚金幣和兩瓶治療藥水作為你的獎勵！」
"So you helped the Dryad; that's nice.  She does keep the forest around here healthy.  So that's how to make a Dispel Potion, is it?  Thanks for letting me know." 	「你幫助了樹精；真好。她確實保持著這一帶的森林健康。所以這就是製作解除魔法藥水的方法嗎？謝謝你讓我知道。」
"I wouldn't know what to do with that." 	「我不知道拿這個怎麼辦。」
"Thank you, but I have all the flowers I need."	「謝謝，但我已經有我需要的所有鮮花。」
"Thank you.  I can always use flowers from Erana's Peace in potion making. Here are your silvers."	「謝謝。我總是能在製作藥水時用上伊瑞娜的安寧之地的花朵。這是你的銀幣。」
You put them away.	你把它們收起來。
"Thank you.  I'll save this for a later use."	「謝謝。我會存起來以後用。」
"Those Meeps sound so interesting.  I'd like to meet them sometime.  I'll get to work on that potion of yours." 	「那些咪普聽起來很有趣。我想有機會見見它們。我來開始製作你的藥水吧。」
"So, you say this is one of the ingredients for the Dispel Potion.  Well, I had better get started making it."	「所以，你說這是解除魔法藥水的一種材料。好吧，我最好開始製作它。」
"Thank you.  I'm sure that I'll find a good use for Fairy Dust."	「謝謝。我相信我會找到妖精粉的好用途。」
"I don't need any more Flying Water.  Thank you anyway."	「我不需要更多飛水了。不過還是謝謝。」
"Thank you for the offer, but I really don't need any water."	「謝謝你的提議，但我真的不需要任何水。」
The Healer makes some sort of arcane gesture over the flask of water, then looks surprised.	治療師對著水瓶做出某種奧祕的手勢，然後看起來很驚訝。
"I'm sorry, but this water does not seem to have any magical potential at all.  This can't be the `Flying Water' you described."	「抱歉，但這水似乎完全沒有任何魔法潛力。這不可能是你描述的『飛水』。」
The Healer makes some sort of arcane gesture over the flask of water, then smiles.	治療師對著水瓶做出某種奧祕的手勢，然後微笑。
"Flying Water.  How clever."	「飛水。真聰明。」
"Thank you, but I have enough mushrooms."	「謝謝，但我已經有足夠的蘑菇。」
"These are very nice.  I'll dry them and grind them into a powder."	「這些很不錯。我會把它們曬乾然後研成粉末。」
"Let me think, oh yes, I said these are worth a gold.  Here you are."	「讓我想想，哦是的，我說過這些值一枚金幣。給你。」
You put it away.	你把它收起來。
"You have ruined the mushrooms with toadstools.  I can not buy your mushrooms."	「你用毒菌毀了蘑菇。我不能買你的蘑菇。」
"Do you mean to tell me that you actually managed to kill a Cheetaur?  You're quite a hero, aren't you?" 	「你是在告訴我你真的殺死了獵豹人？你真是個英雄啊？」
"Here is your money. You might think about purchasing a Healing Potion in case you have to fight such monsters again."	「這是你的錢。你可能要考慮買一瓶治療藥水，以防你得再次對付這樣的怪物。」
"Don't tell me you actually killed a Troll?  Why, you are really amazing. I haven't had any Troll's Beard for a long time.  There are two healing potions for the beard." 	「別告訴我你真的殺死了巨魔？天哪，你真是太了不起了。我很久沒有得到巨魔的鬍鬚了。鬍鬚有兩瓶治療藥水。」
They are ingredients the healer uses to make her potions. 	它們是治療師用來製作藥水的材料。
Soup is good for you.  Mmmm Mmmm good.	湯對你很好。嗯嗯嗯真好。
It's not your soup.	這不是你的湯。
It's a ladder up to the loft where the Healer has her personal quarters.  No, you can't go up the ladder.	這是通向治療師個人房間的閣樓樓梯。不，你不能上樓梯。
Don't be nosy.	別多管閒事。
The pterosaur's litter box.	翼龍的貓砂盆。
Amelia uses a wide variety of pots to make her magical potions.	阿蜜莉亞用各種各樣的鍋來製作她的魔法藥水。
Do you want to burn yourself?  Those pots are hot! 	你想燙到自己嗎？那些鍋很燙！
You see a winged lizard much like the one you saw outside.	你看到一隻翼龍，很像你在外面看到的那隻。
Small on a prehistoric scale, but still a pterosaur.	按史前標準來說很小，但仍然是翼龍。
"I cannot make you another Dispel Potion unless you can convince the Dryad to give you another magic acorn.  I do not think that is likely."	「除非你能說服樹精給你另一個魔力橡果，否則我無法為你製作另一瓶解除魔法藥水。我不認為那可能。」
You tell the healer that you have been to visit the Dryad of the Woods, and that she gave you a Magic Acorn and told you the formula for a potion to dispel enchantments.  	你告訴治療師你去拜訪了森林樹精，她給了你一個魔力橡果並告訴你製作解除魔法藥水的配方。
"Oh, by the way, if you happen to find a ring on your adventures, I lost my favorite gold ring.  I will give a reward to the one who returns it."	「哦，順便說一下，如果你在冒險中碰巧找到戒指，我弄丟了我最喜歡的金戒指。我會給找到它的人獎勵。」
"Here is the potion of Dispel!" 	「這是解除魔法藥水！」
"Use it by splashing it on the victim of a magic spell.  Mind you, this won't work if the spell is caused by a magic item; that type of magic can only be removed by taking away the item." 	「用它潑在魔法咒語的受害者身上。注意，如果咒語是由魔法物品引起的，這不會起作用；那種魔法只能透過拿走物品來消除。」
"Please leave me to make the potion, and when you return I shall have it for you." 	「請讓我製作藥水，當你回來時我就會為你準備好。」
"If you know the ingredients for a Dispel Potion and bring them here, I can make you such a potion."	「如果你知道解除魔法藥水的材料並帶來，我可以為你製作這種藥水。」
"The Dispel Potion will take a while to make.  Why don't you come back later?"	「解除魔法藥水需要一些時間製作。你何不稍後回來？」
"Well, what can I do for you this time?"	「嗯，這次我能為你做什麼？」
The fragrances of herbs mingle with some rather unpleasant odors as you step into the healer's house.  	當你踏入治療師的房子時，草藥的香氣與一些相當難聞的氣味混合在一起。
You put the reward away, and tell her she is welcome, as you leave to avoid being kissed again.  	你把獎勵收起來，告訴她不客氣，然後離開以避免再被親吻。
"Lovely day, isn't it?  My, you look very healthy for an adventurer.  You must be new."	「美好的一天，不是嗎？哇，你作為一個冒險家看起來很健康。你一定是新手。」
"What can I do for you?  I can sell you healing potions if you like."	「我能為你做什麼？如果你願意，我可以賣你治療藥水。」
"I also buy spell components if you are interested in gathering some for me. Don't mind me, I always have so much to do around here."	「我也收購法術材料，有興趣幫我採集的話儘管說。別理我，我這兒事情多得很。」
You see a clean but very cluttered little hut filled with bottles and potions.  The Healer is busy puttering around with her potions.	你看見一間乾淨但凌亂不堪的小屋，擺滿了瓶瓶罐罐和各式藥水。治療師正忙著在她的藥水堆裡翻騰。
There is a small flying creature preening itself on the rafter.  A ladder leads to the loft above.  A pot over the fire simmers with herbs.  It is pleasantly warm in here.	一隻小飛行生物在梁上理羽毛。一把梯子通向上面的閣樓。火上的鍋子裡飄著草藥香。這兒溫暖舒服極了。
You can buy potions, get information, or sell ingredients here.	你可以在這裡買藥水、打聽消息，或賣材料。
There is an aura of magic throughout this small cabin.	整間小屋籠罩著魔法氣息。
"Come back in the morning, please."	「請早上再來。」
You don't really think that is the correct way to win this game, do you? 	你不會真的認為那是贏遊戲的正確方法吧？
You see bottles and flasks of a wide variety of different potions.	你看見各式各樣的瓶子和燒瓶裡裝著五花八門的藥水。
You carefully grab a couple of Healing Potions and conceal them under your cape.	你小心翼翼地抓起幾瓶治療藥水，藏在你的披風下。
If you're going to steal, at least wait until the Healer is not looking.	你要偷的話，至少等治療師不看的時候。
You're getting greedy.  She'll notice if you take any more.	你貪心了。你再拿她就會發現的。
The healer uses this table as a workbench. 	治療師把這張桌子當成工作台。
You see a few odds and ends (not to mention This and That). 	你看見各式各樣的東西（更別提那些雜七雜八的）。
The view from the window has been obscured by soot from the fire.	窗戶外的景色被爐火的煙灰遮住了。
It's snow. 	那是雪。
The cave looks very eerie and ominous.	洞穴看起來陰森詭異。
Better watch out -- those icicles look sharp!	小心點──那些冰錐看起來很尖銳！
Although the cave mouth looks like a mouth, and opens and shuts like a mouth, I'm afraid it doesn't know how to talk like a mouth.	雖然洞口看起來像嘴巴，開閉起來也像嘴巴，但我怕它不知道怎麼像嘴巴那樣說話。
From the blue color of his skin and his huge height, you can tell this is a Frost Giant.	從他皮膚的藍色和巨大的身軀，你能看出這是個霜巨人。
The gem glows like an aurora in the night sky.	那顆寶石像夜空的極光一樣閃耀。
The Giant looks at you in disgust.  Apparently, you did not offer what he desires. 	巨人厭惡地看著你。看來你沒給他想要的東西。
Bargain	討價還價
Brauggi	布勞基
Hunger	飢餓
Mead	蜂蜜酒
Northlands	北國
"Find me some fruit for to mellow my mead horn, Gift I will give of a gem that now glows --"	「給我找點水果來緩和我的蜂蜜酒啊，我會賞你這顆會發光的寶石──」
"Jewel from Jotunheim, flare of the frost flame, Fetch to me fruit that will fill up my fists!"     	「約頓海姆的寶石啊，冰焰的光芒，給我拿來滿滿一拳頭的水果！」
(It looks like it will take a lot of fruit to fill up THOSE fists!)  	（要填滿那樣的拳頭看來得花不少水果啊！）
"Brauggi I be, to boast of my boldness, Strong as the storm that sends forth the snow."  	「我就是布勞基，以膽識自豪，強似送來白雪的風暴。」
"Fiercer in fighting than foes in their fury, Fear now this Frost Giant fighter and flee!"  	「戰鬥中比敵人猛，所向披靡，怕我這霜巨人戰士吧，逃吧！」
"Fiercer than frost's bite, my fury is fearless, My axe it is edged as is the ice."	「比寒冰的咬傷更兇悍，我的怒火無畏，我的斧刃如同冰鎚。」
"This warrior is willing to wield now the war drum, The battleaxe blazes and bellows for blood."   	「這戰士如今願意揮舞戰鼓，戰斧熊熊燃燒，呼號著要血！」
"Highpoint of harvest, the finest of flavor, Apples or oranges, peaches or pears."  	「豐收的高峰，最上乘的滋味，蘋果或柳橙，桃子或梨子。」
"Glow of the frost flame that fills up the night field, A jewel that is flawless, the finest of gems."  	「充滿夜空的冰焰光芒，無瑕的寶石，最精美的珍珠。」
"Hollow my food house, for my hunt has been hindered, By having to hurry here from my home."  	「我的食物倉空了啊，因為狩獵受阻，得匆匆從家趕來這裡。」
"Mead is the mother's milk, mighty yet mellow That brings joy to Giants and madness to men."  	「蜂蜜酒是母親的奶啊，強大卻溫和，給巨人帶來歡樂，給人類帶來瘋狂。」
"Far from the frost field, fares forth this fighter, Hunger has hurled me hither from home." 	「遠離冰雪地啊，這戰士踏上征途，飢荒把我從家鄉硬生生扔到這裡。」
"My name it is known in the Northlands as Brauggi, Barter with blade's clash, or bargain with me."     	「北國都知道我叫布勞基，用刀劍碰撞來交易，或者跟我討價還價。」
The log is covered with a layer of late winter snow.	原木被厚厚的晚冬積雪覆蓋著。
Leave it alone; you don't know where that log's been. 	別碰它；你不知道那根木頭哪來的。
I'm sure that was fun; why don't you talk to a twig next? 	我敢說那很有趣；下一個何不去跟樹枝說話？
You can see a small patch of sky through the trees.	你能透過樹木看到一小片天空。
That's it; reach for the sky!	就是那樣；夠著天空吧！
It's a bit late in the season for skiing.	這季節滑雪有點晚了。
Maybe if you reach those mountains, you'll become a true hero. 	或許如果你登上那些山峰，你就會成為真正的英雄。
I don't think talking to a mountain is healthy. 	我不覺得跟山說話是健康的舉動。
"Fruit you have found, to fill all my food stores, Thus filled the bargain, my gem you have bought."  	「果實你找到了，填飽了我的食物倉，交易這樣成了，寶石就是你的。」
"Brauggi has bartered, and all has been answered; The mead it may mellow, and now I head home."     	「布勞基完成交易了，一切都成了；蜂蜜酒能讓我舒坦，如今我要回家了。」
"Courage you carry,  but skill it is scanty; Face not this foe  before fiercer you fight."   	「你有膽量啊，但技巧還差得遠；別跟我這敵手交手，除非你變得更兇悍。」
Brauggi strides off through the cave on his way back to his Northern home.	布勞基大步踏過洞穴，踏上回北國家園的征途。
Your fruit definitely makes a generous pile in the Giant's cupped hands, but they're not full yet.	你的水果在巨人的雙手窩裡堆成不錯的一堆，但還沒滿。
Running on the ice is apparently not a very good idea.	在冰上跑看起來不是什麼好主意。
As you begin to cast your spell...	當你開始施法時…
Oops.  You're not carrying any fruit for the Frost Giant.   	哎呀。你身上沒有霜巨人要的水果。
Your meagre selection of fruit makes a paltry pile at the bottom of the Giant's cupped hands.  You'll need to get quite a few more apples to fill THOSE hands!	你那可憐兮兮的水果在巨人雙手窩底堆成一小堆。你得多拿好幾個蘋果才能填滿那樣的手！
As you start to throw...	當你開始投擲時…
The mountains rise quickly from this point and are covered with snow.  To the west, you can see that the snow has melted in most of the forest, but here it is still heavy. 	山峰從此處陡峭上升並覆滿白雪。往西看，你能看到森林大部分的雪已融化，但這邊的雪還厚著呢。
Brauggi has departed on the long journey to his homeland.	布勞基已踏上返回家鄉的漫長征途。
Brauggi has become impatient with your questions and gone elsewhere.  You will have to return another time. 	布勞基對你的問題不耐煩了，去別的地方了。你得改天再來。
The Giant (who does not seem pleased at your casting a spell in his presence) radiates a magical aura.  The strongest magic centers on the glowing gem at his belt.	巨人（看起來對你在他面前施法不太高興）散發著魔法氣息。最強的魔法聚集在他腰上那顆會發光的寶石上。
The blue in the sky is just like the blue sky of your home.  You feel a sudden pang of homesickness, and begin to understand Brauggi's loneliness.	天空的藍色就像你家鄉的藍天。你突然湧起鄉愁，開始理解布勞基的孤寂。
To touch the sky, what dreams you have! 	想觸摸天空，你的夢想好遠啊！
Snow covers rock, scissors cut snow, and rock breaks scissors.  It's very Zen. 	雪蓋住石頭，剪刀剪碎雪，石頭砸爛剪刀。很禪嘛。
Before you take that snow and put it in your mouth, ask yourself a question: "Do I feel lucky?" 	在你把那雪拿進嘴裡之前，問問自己一個問題：「我感覺幸運嗎？」
The rock seems to listen patiently, but doesn't respond.	石頭好像在耐心傾聽，但沒有回應。
Snow covers these rocks like a blanket. 	雪像毯子一樣覆蓋著這些石頭。
It would be fun to make a snowball, but you really haven't time.	堆雪球是很有趣，但你真的沒時間。
There's snow all around this area.  In fact, it seems rather colder here than in the rest of the valley.	這地方四周都是雪。事實上，這兒看起來比山谷其他地方冷得多。
It would be fun to make a snowball, but you really haven't time. 	堆雪球是很有趣，但你真的沒時間。
It's a small patch of yellow snow. 	那是一小片黃雪。
The last thing you need is a yellow snowball. 	你最不需要的就是黃雪球。
You look at the apple cores, and quickly decide they are of no use to you. Besides, they look disgusting.	你看著蘋果核，迅速決定它們對你沒用。而且它們看起來噁心得要死。
The baby Meep is just too quick for you.  Besides, they eat too much.	小咪普快得你根本追不上。而且它們食量太大了。
The baby Meep sure is cute.	小咪普真的很可愛。
You keep seeing differently-colored Meeps come out of each hole.  They either lead to large underground caverns, or they are all connected under the earth.	你不斷看見不同顏色的咪普從每個洞冒出來。它們要嘛通向大型地下洞穴，要嘛全部在地底連通。
There is a wad of bright green fur on the ground.	地上有一團亮綠色的毛皮。
The meadow is covered with a light carpet of grass, broken up by the Meep holes. 	草地被薄薄的草皮覆蓋著，中間散佈著咪普的洞。
"Hey, like, we eat them, you know."	「嘿，咦，我們吃它們啊，你知道吧。」
"Cute, huh?  The tunnels down here just crawl with those things.  Get in the way all the time, you know?"	「可愛吧？底下的隧道裡到處都是那些傢伙。老是擋路，你知道吧？」
"Gee boss, I really don't know much about that at all.  Hey, sorry."	「天啊老大，我對那個真的不太了解。嘿，抱歉。」
"Gee boss, I really don't know much about that at all.  Hey, sorry." 	「天啊老大，我對那個真的不太了解。嘿，抱歉。」
"Hey, like fur is good stuff, keeps us warm.  Mine's the best -- it's like green, you know?"	「嘿，咦，毛皮是好東西啊，能讓我們暖和。我的最讚──是綠色的，你知道吧？」
"Oh, you want some green fur?  I think I have some somewhere."	「哦，你想要綠毛皮？我想我某個地方放著呢。」
"We, like, live in tunnels under the ground, you know."	「咦，我們住在地底的隧道裡，你知道吧。」
"I found a scroll lying around in the woods one day.  You want it?  It's yours." 	「我有天在樹林裡找到一卷捲軸。你想要？它就是你的。」
"We are happy Meeps, living in our happy holes.  Don't worry.  Be happy!"  	「我們是快樂的咪普，住在我們快樂的洞裡。別擔心。要開心！」
"We use rocks for doors.  They keep us dry and warm in our holes."	「我們用石頭當門。它們讓我們的洞裡乾爽又暖和。」
"That thing?  I found it lying around in the woods one day.  You want it? It's yours."	「那東西？我有天在樹林裡找到的。你想要嗎？它就是你的。」
The Meep scrambles back into its hole as you try to touch it. 	當你試著碰咪普時，它匆匆鑽回洞裡。
You realize that you have never seen more than one green Meep at a time. Perhaps there is only one.	你意識到你從沒同時見過一隻以上的綠咪普。或許只有一隻。
